backend architecture,use case,heap,concurrency,garbage collector,workload,average_latency,min_latency,max_latency,percentile_10,percentile_20,percentile_50,percentile_90,percentile_99,percentile_999,percentile_9999,percentile_99999,percentile_999999,percentile_9999999,throughput,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,tps,rtps,wtps,bread/s,bwrtn/s,dentunusd,file-nr,inode-nr,pty-nr,proc/s,cswch/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
nio,io,7g,50,UseParallelGC,10,2.359620903610084,0,215,1.0,1.0,2.0,4.0,15.0,66.0,105.0,140.0,205.43918599933386,215.0,20934.693333333333,7166,23.614,566,37.489,2367.523,0.00257,0.00158,0.08968,0.00235,0.08968,1.01,0.09,0.92,99.83,1,390,91803.703,1008059.169,6311.069,73.60,0.00,10.78,0.00,0.26,0.00,4.56,0.00,0.00,10.80,4021060,3636556,47.49,70617,682210,8450648,110.36,2936848,529660,82,2717411,112851,5183,9356,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,9.22,46536,1166,47273,0,0.00,16561.68,9,310,7.63,7.56,7.72,0,21112.21,21166.67,4594.96,4186.84,0.00,0.00,0.00,0.38
nio,io,7g,20,UseParallelGC,10,1.019018757802105,0,204,0.0,0.0,1.0,1.0,8.0,45.0,76.0,107.0,135.0,202.27786889858544,19134.793333333335,7167,23.619,549,36.314,2368.682,0.00208,0.00135,0.0737,0.00188,0.0737,0.74,0.07,0.67,99.88,1,357,84129.772,1259909.036,7449.583,69.72,0.00,13.52,0.00,0.35,0.00,5.01,0.00,0.00,11.40,4032270,3625346,47.34,70812,682528,8454556,110.41,2924637,529656,77,2704671,112936,5199,9321,0,0,0,0.00,0,0.00,0.56,0.00,0.56,0.00,9.49,46618,1153,47252,0,0.01,28712.93,8,311,7.68,7.47,7.54,0,19200.27,19230.39,4190.69,3817.90,0.00,0.00,0.00,0.34
nio,io,7g,10,UseParallelGC,10,0.5663896146949295,0,204,0.0,0.0,0.0,1.0,3.0,11.0,24.0,46.0,105.92020799964666,202.9840415995568,16932.643333333333,7167.5,23.619,609,36.095,2367.2,0.0021,0.00136,0.07035,0.00189,0.07035,0.67,0.07,0.6,99.89,1,317,74626.796,1255196.178,8656.347,63.91,0.00,15.76,0.00,0.48,0.00,4.49,0.00,0.00,15.36,4031460,3626156,47.35,71028,682848,8465558,110.55,2926492,529015,86,2705346,113043,5188,9322,0,0,0,0.00,0,0.00,0.51,0.00,0.51,0.00,10.66,46704,1123,47255,0,0.16,53219.15,7,310,5.86,6.13,6.79,0,16959.93,16950.12,3705.28,3373.53,0.00,0.00,0.00,0.30
nio,io,7g,1,UseParallelGC,10,0.2406007226817136,0,52,0.0,0.0,0.0,1.0,1.0,1.0,4.0,21.0,23.84485900006257,48.76560519821942,3850.4733333333334,7167,23.624,558,35.49,2300.947,0.0038,0.00128,0.07108,0.00291,0.07108,0.29,0.07,0.22,99.95,1,75,17330.893,791333.739,7849.89,0.41,0.00,0.47,0.00,0.77,0.00,0.04,0.00,0.00,98.31,4036898,3620718,47.28,71234,683149,8453772,110.40,2923829,526664,85,2699848,113157,5195,9310,0,0,0,0.00,0,0.00,0.50,0.00,0.50,0.00,9.63,46784,1095,47252,0,0.00,30959.66,1,311,0.01,1.26,3.97,0,3854.50,3853.86,842.68,767.36,0.00,0.00,0.00,0.07
oio,io,7g,600,UseParallelGC,1024,1001.8306333908974,0,1999,1001.0,1001.0,1002.0,1003.0,1006.0,1063.0,1101.0,1999.0,1999.0,1999.0,598.3666666666667,6869.5,23.675,594,337.431,1492.281,0.06041,0.02591,0.13023,0.05939,0.08685,1.63,0.09,1.54,99.72,1,26,3955.373,25126.059,6839.37,5.34,0.00,2.47,0.00,0.10,0.00,0.91,0.00,0.00,91.19,3680655,3976961,51.93,71420,703709,8952904,116.92,3250321,541116,84,3020029,116762,14880,10974,0,0,0,0.00,0,0.00,0.49,0.00,0.49,0.00,8.93,46890,1668,47840,0,0.06,6136.98,1,916,0.33,0.63,2.28,0,3296.18,2995.89,943.93,881.24,0.00,0.00,0.00,0.08
oio,io,7g,500,UseParallelGC,1024,1001.7850687649035,0,1099,1001.0,1001.0,1002.0,1003.0,1005.0,1048.2880000000296,1087.0,1099.0,1099.0,1099.0,499.04333333333335,6869.5,23.676,614,304.643,1615.568,0.06345,0.02452,0.1031,0.06311,0.0703,1.33,0.07,1.26,99.77,1,20,3385.61,25599.678,8734.258,4.28,0.00,2.09,0.00,0.09,0.00,0.70,0.00,0.00,92.84,3816663,3840953,50.16,71613,703997,8837136,115.40,3119472,538508,86,2886087,116158,13252,10481,0,0,0,0.00,0,0.00,0.42,0.00,0.42,0.00,8.24,46968,1566,47746,0,0.01,5151.77,1,814,0.43,0.40,1.33,0,2747.37,2498.02,786.97,734.78,0.00,0.00,0.00,0.06
oio,io,7g,200,UseParallelGC,1024,1001.898940437195,0,1075,1001.0,1001.0,1002.0,1003.0,1008.0,1059.0,1073.0164999999906,1074.4016499999925,1074.940165,1074.9940164999934,199.45333333333335,6869.5,23.673,653,232.838,1559.397,0.06026,0.0319,0.09946,0.0559,0.09946,0.6,0.1,0.5,99.89,1,9,1526.055,27895.632,6565.269,1.75,0.00,1.17,0.00,0.03,0.00,0.29,0.00,0.00,96.75,3976550,3681066,48.07,71794,704277,8532816,111.43,2972417,534364,78,2734440,114097,8448,9695,0,0,0,0.00,0,0.00,0.41,0.00,0.41,0.00,7.60,47054,1263,47458,0,0.02,2116.05,2,514,0.27,0.25,0.78,0,1099.10,999.31,314.76,293.88,0.00,0.00,0.00,0.03
oio,io,7g,100,UseParallelGC,1024,1001.9567061967597,0,1069,1001.0,1001.0,1002.0,1004.0,1013.0,1058.0,1066.0,1068.7006599999986,1068.970065999998,1068.9970065999987,99.78333333333333,6869.5,23.632,560,224.786,1493.986,0.05458,0.02144,0.07106,0.05183,0.07106,0.38,0.07,0.31,99.93,1,6,951.194,28825.47,7880.531,0.97,0.00,0.77,0.00,0.02,0.00,0.14,0.00,0.00,98.10,4158823,3498793,45.69,71983,704561,8430581,110.09,2792489,534364,68,2554063,113588,6917,9280,0,0,0,0.00,0,0.00,0.45,0.00,0.45,0.00,8.67,47136,1169,47367,0,0.04,1131.83,2,418,0.27,0.19,0.47,0,549.63,499.87,157.29,146.85,0.00,0.00,0.00,0.01
oio,io,7g,50,UseParallelGC,1024,1001.701443657265,0,1085,1001.0,1001.0,1002.0,1003.0,1010.0,1081.0,1083.0,1084.7007799999992,1084.9700779999985,1084.997007799997,49.873333333333335,6869.5,23.675,595,187.263,1372.787,0.05693,0.02931,0.07704,0.05304,0.07251,0.28,0.07,0.21,99.95,1,4,595.288,25881.602,8205.844,0.56,0.00,0.63,0.00,0.01,0.00,0.07,0.00,0.00,98.74,4515763,3141853,41.03,72165,704845,8370514,109.31,2437205,534364,81,2198318,113243,5994,8754,0,0,0,0.00,0,0.00,0.43,0.00,0.43,0.00,8.40,47218,1114,47326,0,0.03,648.50,2,361,0.16,0.17,0.32,0,274.81,249.96,78.65,73.43,0.00,0.00,0.00,0.01
oio,io,7g,20,UseParallelGC,1024,1000.7027207477884,1,1023,1001.0,1001.0,1002.0,1004.0,1010.0,1020.0100000000002,1023.0,1023.0,1023.0,1023.0,19.97,6869.5,23.675,605,120.764,948.354,0.05642,0.03,0.07384,0.04771,0.07384,0.17,0.07,0.1,97.56,1,2,16425.834,19877.645,8192.947,0.43,0.00,0.58,0.00,0.00,0.00,0.03,0.00,0.00,98.95,5223243,2434373,31.79,72356,705133,8344798,108.97,1731749,534366,79,1492398,113183,5520,7440,0,0,0,0.00,0,0.00,0.53,0.00,0.53,0.00,9.33,47300,1076,47305,0,0.05,378.99,2,331,0.02,0.07,0.18,0,110.06,100.11,31.50,29.40,0.00,0.00,0.00,0.00
oio,io,7g,10,UseParallelGC,1024,1002.1229946524064,1,1036,1001.0,1002.0,1002.0,1004.0,1015.0900000000001,1036.0,1036.0,1036.0,1036.0,1036.0,9.973333333333333,6869.5,23.675,649,136.61,950.43,0.05723,0.02639,0.07298,0.04936,0.07298,0.17,0.07,0.1,99.93,1,2,496.659,19256.521,8892.299,0.60,0.00,0.56,0.00,0.00,0.00,0.01,0.00,0.00,98.82,5571189,2086427,27.25,72549,705417,8333068,108.82,1384712,534364,84,1144880,113139,5325,6956,0,0,0,0.00,0,0.00,0.44,0.00,0.44,0.00,8.53,47382,1061,47304,0,0.01,291.04,2,319,0.13,0.08,0.12,0,55.08,50.09,15.74,14.70,0.00,0.00,0.00,0.00
oio,io,7g,1,UseParallelGC,1024,1003.4983277591973,1001,1019,1002.0,1002.0,1003.0,1005.0,1009.1399999999999,1018.4040000000002,1018.9404,1018.9940399999998,1018.9994039999999,1018.9999404,0.9966666666666667,6869.5,23.673,596,54.499,1014.628,0.04161,0.02569,0.07119,0.02682,0.07119,0.12,0.07,0.05,99.73,1,2,2597.253,37825.166,8371.939,0.21,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,99.27,6054537,1603079,20.93,72733,705698,8316596,108.61,902371,534364,84,662070,113079,5090,5890,0,0,0,0.00,0,0.00,0.44,0.00,0.44,0.00,8.45,47457,1023,47297,0,0.01,240.88,2,304,0.00,0.02,0.06,0,5.67,5.17,1.59,1.48,0.00,0.00,0.00,0.00
oio,io,7g,600,UseParallelGC,100,1001.8917422205897,0,2005,1001.0,1001.0,1002.0,1003.0,1011.0,1092.0,2003.0,2004.203279999987,2005.0,2005.0,598.91,6869.5,23.674,622,348.187,1558.246,0.07345,0.02587,0.12882,0.073,0.08247,1.54,0.08,1.46,99.74,1,20,3201.056,21345.278,7542.502,4.91,0.00,2.51,0.00,0.10,0.00,0.77,0.00,0.00,91.71,3755103,3902513,50.96,72924,705982,8945404,116.82,3181860,534364,77,2941046,117032,14968,10785,0,0,0,0.00,0,0.00,0.52,0.00,0.52,0.00,9.60,47546,1665,47912,0,0.02,5936.01,2,922,0.76,0.59,0.30,0,2698.90,2398.01,365.29,301.97,0.00,0.00,0.00,0.03
